id,original_title,genres_id,vote_average
24428,The Avengers,"878, 28, 12",7.733
155,The Dark Knight,"18, 28, 80, 53",8.519
597,Titanic,"18, 10749",7.9
1217876,Elli and the Ghostly Ghost Train,"16, 10751, 35",5.8
516729,Paddington in Peru,"10751, 35, 12",6.9
58008,L'infermiera di notte,35,5.2
1333100,劇場版「進撃の巨人」完結編 THE LAST ATTACK,"16, 28, 12, 14",8.5
872585,Oppenheimer,"18, 36",8.1
129,千と千尋の神隠し,"16, 10751, 14",8.536
550,Fight Club,18,8.438
935766,Chico Bento e a Goiabeira Maraviosa,"10751, 12, 35",7.9
1097549,Babygirl,18,5.829
1039659,Winner,"35, 18",6.8
980477,哪吒之魔童闹海,"16, 14, 12",7.8
710295,Wolf Man,"27, 53",6.4
823464,Godzilla x Kong: The New Empire,"28, 12, 878",7.099
808,Shrek,"16, 35, 14, 12, 10751",7.75
945961,Alien: Romulus,"27, 878",7.2
603692,John Wick: Chapter 4,"28, 53, 80",7.722
4935,ハウルの動く城,"14, 16, 12",8.397
569094,Spider-Man: Across the Spider-Verse,"16, 28, 12, 878",8.345
615453,哪吒之魔童降世,"16, 14, 12",7.9
970450,Werewolves,"28, 27, 53",6.2
1188104,ปล้นทะลุไมล์,"28, 80",8.1
1006724,鬼才之道,"27, 35",6.903
293167,Kong: Skull Island,"28, 12, 14",6.545
603,The Matrix,"28, 878",8.2
1261555,Setetes Embun Cinta Niyala,"18, 10749",5.5
974576,Conclave,"18, 53, 9648",7.184
19995,Avatar,"28, 12, 14, 878",7.587
674,Harry Potter and the Goblet of Fire,"12, 14",7.802
872585,Oppenheimer,"18, 36",8.067
1138749,The Island,"28, 80, 53",6.164
1011985,Kung Fu Panda 4,"16, 10751, 28, 35, 12, 14",7.071
240,The Godfather Part II,"18, 80",8.6
85430,Girl Play,"35, 10749",5.447
98,Gladiator,"28, 18, 12",8.217
438631,Dune,"878, 12",7.782
693134,Dune: Part Two,"878, 12",8.149
27205,Inception,"28, 878, 12",8.369
122,The Lord of the Rings: The Return of the King,"12, 14, 28",8.482
120,The Lord of the Rings: The Fellowship of the Ring,"12, 14, 28",8.418
1043905,Dirty Angels,"28, 18, 53, 10752",6.2
420818,The Lion King,"12, 18, 10751, 16",7.111
198663,The Maze Runner,"28, 9648, 878, 53",7.189
253350,La cugina,"35, 18",5.4
1247019,ธี่หยด 2,"27, 53, 28",7.0
1109255,Parthenope,"10749, 18",6.9
1001274,La Nuit se traîne,"53, 28",6.7
604685,Den of Thieves 2: Pantera,"28, 80, 53",6.8
98,Gladiator,"28, 18, 12",8.217
9532,Final Destination,27,6.606
549509,The Brutalist,18,7.1
354912,Coco,"10751, 16, 10402, 12",8.204
27205,Inception,"28, 878, 12",8.369
680,Pulp Fiction,"53, 80",8.489
862,Toy Story,"16, 12, 10751, 35",7.968
866398,The Beekeeper,"28, 80, 53",7.33
1087891,The Amateur,"53, 28",0.0
672,Harry Potter and the Chamber of Secrets,"12, 14",7.709
1450436,Puri for Rent,"18, 10749",0.0
786892,Furiosa: A Mad Max Saga,"28, 878, 12",7.5
76600,Avatar: The Way of Water,"878, 12, 28",7.607
150540,Inside Out,"16, 10751, 12, 18, 35",7.911
11544,Lilo & Stitch,"16, 10751, 35",7.529
408,Snow White and the Seven Dwarfs,"14, 16, 10751",7.1
1177908,Moscas,53,6.4
14836,Coraline,"16, 10751, 14",7.889
949,Heat,"80, 18, 28",7.9
957119,Sidelined: The QB and Me,"35, 10749",5.8
22,Pirates of the Caribbean: The Curse of the Black Pearl,"12, 14, 28",7.808
424,Schindler's List,"18, 36, 10752",8.564
1195430,देवा,"28, 53, 9648, 80",7.8
85430,Girl Play,"35, 10749",5.447
50270,Paprika,18,7.1
653346,Kingdom of the Planet of the Apes,"878, 12, 28, 18, 53",7.1
762441,A Quiet Place: Day One,"27, 878, 53",6.742
748783,The Garfield Movie,"16, 35, 10751, 12",7.1
673,Harry Potter and the Prisoner of Azkaban,"12, 14",8.011
1005331,Carry-On,"53, 28",6.9
8966,Twilight,"14, 18, 10749",6.287
1403735,లైలా,"35, 10749",0.0
809,Shrek 2,"16, 10751, 35, 14, 12",7.29
453395,Doctor Strange in the Multiverse of Madness,"14, 28, 12",7.264
121,The Lord of the Rings: The Two Towers,"12, 14, 28",8.402
1201012,धूम धाम,"35, 10749, 28",6.6
138843,The Conjuring,"27, 53",7.539
1051896,Arcadian,"28, 27, 53, 878",6.2
1239655,Friendship,35,0.0
862,Toy Story,"16, 12, 10751, 35",7.968
675353,Sonic the Hedgehog 2,"28, 12, 10751, 35",7.472
1201012,धूम धाम,"35, 10749, 28",6.6
372058,君の名は。,"16, 10749, 18",8.484
337167,Fifty Shades Freed,"18, 10749",6.696
1051896,Arcadian,"28, 27, 53, 878",6.2
324857,Spider-Man: Into the Spider-Verse,"16, 28, 12, 878",8.396
315162,Puss in Boots: The Last Wish,"16, 12, 14, 35, 10751",8.217
12444,Harry Potter and the Deathly Hallows: Part 1,"12, 14",7.743
50270,Paprika,18,7.1
13,Forrest Gump,"35, 18, 10749",8.467
156022,The Equalizer,"53, 28, 80",7.279
1241752,Rita,18,6.7
12445,Harry Potter and the Deathly Hallows: Part 2,"14, 12",8.087
170,28 Days Later,"27, 53, 878",7.23
299534,Avengers: Endgame,"12, 878, 28",8.238
637649,Wrath of Man,"28, 80, 53",7.624
106646,The Wolf of Wall Street,"80, 18, 35",8.03
1403735,లైలా,"35, 10749",0.0
978796,Bagman,"27, 53",6.3
617359,वृंदावानी वैराग्य,18,4.5
830926,Na manush premer kothamala,,0.0
299534,Avengers: Endgame,"12, 878, 28",8.238
1055110,扉を閉めた女教師,"10749, 18",5.7
675353,Sonic the Hedgehog 2,"28, 12, 10751, 35",7.472
228150,Fury,"10752, 18, 28",7.539
324857,Spider-Man: Into the Spider-Verse,"16, 28, 12, 878",8.4
8392,となりのトトロ,"14, 16, 10751",8.07
82023,Hotel Desire,"18, 10749",6.0
928228,친절한 경찰,,5.5
940551,Migration,"16, 12, 35, 10751",7.4
667538,Transformers: Rise of the Beasts,"878, 12, 28",7.244
537915,After,"10749, 18",7.1
557,Spider-Man,"28, 878",7.3
475557,Joker,"80, 53, 18",8.139
109445,Frozen,"16, 10751, 12, 14",7.247
627336,L2: E.M.P.U.R.A.A.N – Lucifer 2,"28, 80, 53",6.2
99861,Avengers: Age of Ultron,"28, 12, 878",7.271
1081012,Aftermath,"28, 53",6.216
372058,君の名は。,"16, 10749, 18",8.484
637649,Wrath of Man,"28, 80, 53",7.624
12445,Harry Potter and the Deathly Hallows: Part 2,"14, 12",8.087
807,Se7en,"80, 9648, 53",8.375
1209794,堕天使たちの狂宴,"16, 10770, 27",0.0
55779,Final Destination 5,"27, 9648",6.098
2062,Ratatouille,"16, 35, 10751, 14",7.825
11036,The Notebook,"10749, 18",7.89
639720,IF,"35, 14, 10751",7.088
675,Harry Potter and the Order of the Phoenix,"12, 14",7.675
370663,Below Her Mouth,"18, 10749",6.804
1111873,Abigail,"27, 53",6.8
244786,Whiplash,"18, 10402",8.374
337167,Fifty Shades Freed,"18, 10749",6.696
976573,Elemental,"16, 35, 10751, 14, 10749",7.6
449443,Den of Thieves,"28, 80, 53",6.8
110415,Snowpiercer,"28, 878, 18",6.903
1257960,सिकंदर,"28, 53",4.0
335983,Venom,"878, 28",6.827
269149,Zootopia,"16, 12, 10751, 35",7.747
1104390,Anatema,27,5.913
929204,Wallace & Gromit: Vengeance Most Fowl,"16, 35, 10751, 12",7.589
1379074,Boreal,"18, 14",7.0
1726,Iron Man,"28, 878, 12",7.649
661539,A Complete Unknown,"18, 10402",7.153
1437446,The Twister: Caught in the Storm,99,6.2
1000837,Ainda Estou Aqui,"18, 36",8.0
11324,Shutter Island,"18, 53, 9648",8.201
1235623,目中无人2,"28, 18",6.3
508883,君たちはどう生きるか,"16, 12, 14, 10751, 18",7.5
271110,Captain America: Civil War,"12, 28, 878",7.445
929590,Civil War,"10752, 28, 18",6.874
717196,Niko ja Myrskyporojen arvoitus,"16, 10751, 14",7.8
297762,Wonder Woman,"28, 12, 14",7.216
585,"Monsters, Inc.","16, 35, 10751",7.842
414906,The Batman,"80, 9648, 53",7.7
1100856,Заклятье. Шепот ведьм,"27, 53",6.5
38757,Tangled,"16, 10751, 12",7.606
575264,Mission: Impossible - Dead Reckoning Part One,"28, 12",7.533
1196470,Survivre,"878, 53, 12, 28",5.9
1072790,Anyone But You,"10749, 35",6.895
1196470,Survivre,"878, 53, 12, 28",5.9
1104390,Anatema,27,5.913
1100856,Заклятье. Шепот ведьм,"27, 53",6.5
792307,Poor Things,"878, 10749, 35",7.697
284054,Black Panther,"28, 12, 878",7.374
717196,Niko ja Myrskyporojen arvoitus,"16, 10751, 14",7.92
505642,Black Panther: Wakanda Forever,"28, 12, 878",7.068
957452,The Crow,"28, 14, 27",5.8
1222064,River of Blood,"27, 53",6.071
1153714,Death of a Unicorn,"35, 14, 27",6.2
585,"Monsters, Inc.","16, 35, 10751",7.842
389,12 Angry Men,18,8.547
11324,Shutter Island,"18, 53, 9648",8.201
497698,Black Widow,"28, 12, 878",7.209
617359,वृंदावानी वैराग्य,18,4.5
244786,Whiplash,"18, 10402",8.374
335983,Venom,"878, 28",6.827
271110,Captain America: Civil War,"12, 28, 878",7.445
9358,Final Destination 2,"27, 9648",6.255
396535,부산행,"27, 53, 28, 12",7.749
240,The Godfather Part II,"18, 80",8.568
150689,Cinderella,"10749, 14, 10751, 18",6.823
454626,Sonic the Hedgehog,"28, 878, 35, 10751",7.3
957452,The Crow,"28, 14, 27",5.8
76341,Mad Max: Fury Road,"28, 12, 878",7.621
792307,Poor Things,"878, 10749, 35",7.696
497,The Green Mile,"14, 18, 80",8.504
505642,Black Panther: Wakanda Forever,"28, 12, 878",7.068
1052243,MANUEL,,0.0
245891,John Wick,"28, 53",7.4
19912,The Final Destination,"27, 9648",5.589
1128752,Bird,"18, 14",7.2
755679,Fast X: Part 2,"28, 80, 53",0.0
1064028,Subservience,"27, 878, 53",6.7
718821,Twisters,"28, 53",6.859
111,Scarface,"28, 80, 18",8.2
1159311,僕のヒーローアカデミア THE MOVIE ユアネクスト,"16, 28, 12, 878",6.843
940721,ゴジラ-1.0,"878, 27, 28",7.6
447365,Guardians of the Galaxy Vol. 3,"878, 12, 28, 35",7.949
315635,Spider-Man: Homecoming,"28, 12, 878, 18",7.3
253350,La cugina,"35, 18",5.4
321612,Beauty and the Beast,"10751, 14, 10749",7.0
58,Pirates of the Caribbean: Dead Man's Chest,"12, 14, 28",7.365
1323784,Mala influencia,"18, 53, 10749",7.9
753342,Napoleon,"36, 10752, 10749",6.351
1084736,Le Comte de Monte-Cristo,"28, 12, 18",8.0
116236,La voglia matta,"10749, 35, 18",6.5
359410,Road House,"28, 53",6.944
944401,Dogman,"28, 18, 80",7.904
791042,Levels,"28, 878, 53",5.733
16869,Inglourious Basterds,"18, 53, 10752",8.2
615,The Passion of the Christ,18,7.499
863,Toy Story 2,"16, 35, 10751",7.597
719221,Tarot,27,6.5
1865,Pirates of the Caribbean: On Stranger Tides,"12, 28, 14",6.557
926393,The Equalizer 3,"28, 53, 80",7.3
1239481,Raqa,53,6.4
381284,Hidden Figures,"18, 36",8.055
1124641,Classified,"28, 53",5.7
568124,Encanto,"16, 35, 10751, 14",7.595
1299040,Las chicas de la estación,18,6.4
9286,Final Destination 3,"27, 9648",6.109
810,Shrek the Third,"14, 12, 16, 35, 10751",6.297
86493,Eine Armee Gretchen,"18, 10752",5.0
298618,The Flash,"12, 28, 878",6.661
313369,La La Land,"35, 18, 10749, 10402",7.899
280,Terminator 2: Judgment Day,"28, 53, 878",8.123
1094870,Playboy Video Playmate Calendar 2000,99,1.0
365177,Borderlands,"28, 878, 35",5.735
284054,Black Panther,"28, 12, 878",7.374
10003,The Saint,"53, 28, 10749, 878, 12",6.1
960139,La Maison,"18, 35, 14",6.063
10020,Beauty and the Beast,"10749, 10751, 16, 14",7.731
210577,Gone Girl,"9648, 53, 18",7.89
1125510,El hoyo 2,"878, 27, 53",5.544
1216780,नादानियां,"10749, 35, 18",5.9
1114513,Speak No Evil,"27, 53",7.253
588228,The Tomorrow War,"28, 878, 12",7.519
1000075,Largo Winch : Le Prix de l'argent,"28, 12, 53",5.969
447332,A Quiet Place,"27, 18, 878",7.4
128,もののけ姫,"12, 14, 16",8.332
829560,Kolejne 365 dni,"10749, 18",6.4
566525,Shang-Chi and the Legend of the Ten Rings,"28, 12, 14, 878",7.524
493922,Hereditary,"27, 9648, 53",7.294
1147710,하이재킹,"28, 53, 80",6.402
284053,Thor: Ragnarok,"28, 12, 878",7.585
765897,The Unbreakable Boy,"18, 10751",7.1
1272149,Bridget Jones: Mad About the Boy,"10749, 35, 18",6.7
447277,The Little Mermaid,"12, 10751, 14, 10749",6.318
1261555,Setetes Embun Cinta Niyala,"18, 10749",5.5
102651,Maleficent,"14, 12, 28, 10751, 10749",7.1
135397,Jurassic World,"28, 12, 878, 53",6.7
10681,WALL·E,"16, 10751, 878",8.1
12153,White Chicks,"35, 80",6.9
72190,World War Z,"28, 27, 878, 53",6.82
575265,Mission: Impossible - The Final Reckoning,"28, 12, 53",0.0
1100099,We Live in Time,"10749, 18",7.4
507086,Jurassic World Dominion,"12, 28, 878",6.7
10191,How to Train Your Dragon,"14, 12, 16, 10751",7.835
1355126,Pabrik Gula,"27, 53",6.8
14160,Up,"16, 35, 10751, 12",7.957
275010,Christa,18,5.2
324568,おいら女蛮,"16, 35, 28",5.4
297,Meet Joe Black,"14, 18, 10749",7.3
1231914,여직원들 : 직장 연애사 3,10749,0.0
285,Pirates of the Caribbean: At World's End,"12, 14, 28",7.257
9502,Kung Fu Panda,"28, 12, 16, 10751, 35",7.296
333339,Ready Player One,"12, 28, 878",7.589
293167,Kong: Skull Island,"28, 12, 14",6.545
10625,Mean Girls,"18, 35",7.216
769,GoodFellas,"18, 80",8.456
581528,악인전,"80, 28, 53",7.837
1280672,One of Them Days,35,6.981
14,American Beauty,18,8.008
353486,Jumanji: Welcome to the Jungle,"12, 35, 14, 28",6.819
801335,Girl in the Basement,"53, 80, 10770",7.627
425,Ice Age,"16, 35, 10751, 12",7.361
259872,Des jours plus belles que la nuit,10749,5.813
419430,Get Out,"9648, 53, 27",7.616
572802,Aquaman and the Lost Kingdom,"28, 12, 14",6.6
497698,Black Widow,"28, 12, 878",7.209
1129598,Prey,"28, 53, 27",6.2
111224,攻殻機動隊 STAND ALONE COMPLEX Individual Eleven,"16, 878",7.6
429617,Spider-Man: Far From Home,"28, 12, 878",7.41
462183,Salvaje despertar,"18, 10749, 53",5.5
293660,Deadpool,"28, 12, 35",7.621
695721,The Hunger Games: The Ballad of Songbirds & Snakes,"18, 878, 28, 12, 53, 10752",7.028
1299372,El llanto,27,6.375
205596,The Imitation Game,"36, 18, 53, 10752",7.995
545611,Everything Everywhere All at Once,"28, 12, 878",7.76
429,"Il buono, il brutto, il cattivo",37,8.5
105,Back to the Future,"12, 35, 878",8.318
787699,Wonka,"35, 10751, 14",7.1
1013850,A Real Pain,"35, 18",6.778
324786,Hacksaw Ridge,"18, 36, 10752",8.193
131631,The Hunger Games: Mockingjay - Part 1,"878, 12, 53",6.815
351286,Jurassic World: Fallen Kingdom,"28, 12, 878, 53",6.539
11,Star Wars,"12, 28, 878",8.203
375016,Vanessa,18,4.2
9806,The Incredibles,"28, 12, 16, 10751",7.709
1114894,Star Trek: Section 31,"878, 12, 28",4.8
1239481,Raqa,53,6.4
10681,WALL·E,"16, 10751, 878",8.096
917496,Beetlejuice Beetlejuice,"27, 35, 14",7.043
818647,A través de mi ventana,"10749, 18, 35",7.4
398818,Call Me by Your Name,"10749, 18",8.1
12153,White Chicks,"35, 80",6.9
787699,Wonka,"35, 10751, 14",7.1
466272,Once Upon a Time... in Hollywood,"35, 18, 53",7.43
298618,The Flash,"12, 28, 878",6.661
1078600,Marked Men: Rule + Shaw,"10749, 18",6.6
205596,The Imitation Game,"36, 18, 53, 10752",7.995
10625,Mean Girls,"18, 35",7.2
214756,Ted 2,"35, 14",6.307
1402,The Pursuit of Happyness,18,7.89
86493,Eine Armee Gretchen,"18, 10752",5.0
843527,The Idea of You,"10749, 18, 35",7.4
24021,The Twilight Saga: Eclipse,"12, 14, 18, 10749",6.203
812,Aladdin,"16, 10751, 12, 14, 10749",7.651
1299372,El llanto,27,6.375
1017066,Heaven in Hell,"18, 10749",6.8
9502,Kung Fu Panda,"28, 12, 16, 10751, 35",7.296
1354627,SpongeBob Squarepants: Kreepaway Kamp,"10770, 10751, 35, 27, 16",7.1
1276945,Ferry 2,"28, 18, 80, 53",5.7
1080917,ReBroken,"18, 53, 27",5.2
545611,Everything Everywhere All at Once,"28, 12, 878",7.761
489,Good Will Hunting,18,8.158
726139,탈출: 프로젝트 사일런스,"53, 28, 27, 878, 12",6.993
1008042,Talk to Me,27,7.16
1022796,Wish,"16, 10751, 14, 12",6.3
167830,Incontri proibiti,"18, 35",5.1
137113,Edge of Tomorrow,"28, 878",7.629
324552,John Wick: Chapter 2,"28, 53, 80",7.332
707610,가슴 큰 울 엄마,"18, 10749",5.9
49051,The Hobbit: An Unexpected Journey,"12, 14, 28",7.357
38575,The Karate Kid,"28, 12, 18, 10751",6.5
14161,2012,"28, 12, 878",5.849
1930,The Amazing Spider-Man,"28, 12, 878",6.71
101299,The Hunger Games: Catching Fire,"12, 28, 878",7.426
615777,Babylon,"18, 35",7.371
995984,母性,"18, 9648",7.9
